,Contractor_ID,Company/Trading Name,Phone,Mobile,Email,County,Serviced Areas,Measure,lon,lat,full_address_google,eircode,useful_address,Air to air Heat Pump check,Air to Water Heat Pump check,Cavity check,Dry-Lining Insulation check,Exhaust Air to Water Heat Pump check,External Insulation check,Ground to Water Heat Pump (Horizontal) check,Ground to Water Heat Pump (Vertical) check,Heating Controls Upgrade only check,High Efficiency Gas Boiler with Heating Controls Upgrade check,High Efficiency Oil Boiler with Heating Controls Upgrade check,Roof Insulation check,Solar Heating check,Water to Water Heat Pump check
0,14438,Tomas Walsh & Sons,5841234.0,872528296,twalshbuilder@gmail.com,Waterford,Munster,"Dry-Lining Insulation, Roof Insulation",-7.625886700000001,52.08991779999999,"48 O'Connell St, Dungarvan, Co. Waterford, X35 EW73, Ireland",X35 EW73,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,17175,Shane Mckenna Plumbing & Heating,876185861.0,876185861,shanemckennaplumbingandheating@gmail.com,Louth,"Dublin, Leinster (Excluding Dublin)","Air to air Heat Pump, Air to Water Heat Pump, Exhaust Air to Water Heat Pump, Ground to Water Heat Pump (Horizontal), Ground to Water Heat Pump (Vertical), Heating Controls Upgrade only, Solar Heating, Water to Water Heat Pump",-6.570027,53.81921999999999,"Ardee, Co. Louth, Ireland",,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True
2,16238,Paul O Reilly Builder Ltd T/A Top Build,14965451.0,872311700,pauloreillybuilder@gmail.com,Dublin 6W,Dublin,"Dry-Lining Insulation, Roof Insulation",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3,11173,Raymond Barrett,2334087.0,862646405,raybarrett527@gmail.com,Cork,Munster,Heating Controls Upgrade only,-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,15473,KQH Ltd,,864168444,kilcullyqhomes@gmail.com,Cork,Munster,"Dry-Lining Insulation, Roof Insulation",-8.487242,51.897193,"The Bungalow, Whites Cross, Co Cork, Co. Cork, Ireland",,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,13896,SMG Plumbing & Heating,,868171360,stevemcguinness2@hotmail.com,Co Dublin,Dublin,"Dry-Lining Insulation, Heating Controls Upgrade only, High Efficiency Gas Boiler with Heating Controls Upgrade , High Efficiency Oil Boiler with Heating Controls Upgrade, Solar Heating",-6.1414065,53.2722583,"438 Pearse Villas, Thomastown, Sallynoggin, Co. Dublin, A96 YP38, Ireland",A96 YP38,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False
6,16807,TC Systems,14922299.0,877740387,tcsystems.ie@gmail.com,Dublin 6W,"Dublin, Leinster (Excluding Dublin)","Dry-Lining Insulation, Roof Insulation",-6.364466699999999,53.3837769,"Blanchardstown, Castleknock, Co. Dublin, Ireland",,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
7,17488,Crystal Complete Building Ltd,,872219241,info@ccbuilding.ie,Meath,"Dublin, Leinster (Excluding Dublin)","Air to air Heat Pump, Air to Water Heat Pump, Dry-Lining Insulation, Exhaust Air to Water Heat Pump, Ground to Water Heat Pump (Horizontal), Ground to Water Heat Pump (Vertical), Heating Controls Upgrade only, Roof Insulation, Water to Water Heat Pump",-6.3968642,53.5154931,"15 Hunter's Ln, Ashewood, Ashbourne, Co. Meath, A84 PY95, Ireland",A84 PY95,True,True,True,False,True,True,False,True,True,True,False,False,True,False,True
8,11128,Duffy Plumbing & Heating Ltd,419888556.0,862345954,duffyph@eircom.net,Meath,Dublin,Heating Controls Upgrade only,-6.262851899999999,53.69932290000001,"17 The Avenue, The Manor, Bettystown, Co. Meath, A92 TN50, Ireland",A92 TN50,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9,10534,Mulcahy Construction Ltd,526124599.0,862436383,info@mulcahyconstruction.ie,Tipperary,Munster,"Dry-Lining Insulation, Roof Insulation",-7.6722395,52.3644082,"Moangarriff, Powerstown Road, Co. Tipperary, Ireland",,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
10,10511,Nalif Mechanical Services Ltd T/A NMS Group,16303454.0,872522339,laura@nmsgroup.ie,Meath,"Dublin, Leinster (Excluding Dublin)",Heating Controls Upgrade only,-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,17609,Sean Bermingham Carpentry & Maintenance,,868356078,info@bermaintenance.ie,Galway,Connacht,"Dry-Lining Insulation, Roof Insulation",-8.944250799999999,53.3770892,"Co. Galway, Ireland",,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
12,13709,Total Insulation,,879664759,jerzypanas@gmail.com,Kildare,"Dublin, Leinster (Excluding Dublin)","Dry-Lining Insulation, Roof Insulation",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
