,address,lon,lat,full_address_google,eircode,useful_address
0,"Tomas Walsh & Sons, County Waterford, Ireland",-7.625886700000001,52.08991779999999,"48 O'Connell St, Dungarvan, Co. Waterford, X35 EW73, Ireland",X35 EW73,True
1,"Shane Mckenna Plumbing & Heating, County Louth, Ireland",-6.570027,53.81921999999999,"Ardee, Co. Louth, Ireland",,False
2,"Paul O Reilly Builder Ltd T/A Top Build, County Dublin 6W, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
3,"Raymond Barrett, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
4,"KQH Ltd, County Cork, Ireland",-8.487242,51.897193,"The Bungalow, Whites Cross, Co Cork, Co. Cork, Ireland",,True
5,"SMG Plumbing & Heating, County Co Dublin, Ireland",-6.1414065,53.2722583,"438 Pearse Villas, Thomastown, Sallynoggin, Co. Dublin, A96 YP38, Ireland",A96 YP38,True
6,"TC Systems, County Dublin 6W, Ireland",-6.364466699999999,53.3837769,"Blanchardstown, Castleknock, Co. Dublin, Ireland",,True
7,"Crystal Complete Building Ltd, County Meath, Ireland",-6.3968642,53.5154931,"15 Hunter's Ln, Ashewood, Ashbourne, Co. Meath, A84 PY95, Ireland",A84 PY95,True
8,"Duffy Plumbing & Heating Ltd, County Meath, Ireland",-6.262851899999999,53.69932290000001,"17 The Avenue, The Manor, Bettystown, Co. Meath, A92 TN50, Ireland",A92 TN50,True
9,"Mulcahy Construction Ltd, County Tipperary, Ireland",-7.6722395,52.3644082,"Moangarriff, Powerstown Road, Co. Tipperary, Ireland",,True
10,"Nalif Mechanical Services Ltd T/A NMS Group, County Meath, Ireland",-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False
11,"Sean Bermingham Carpentry & Maintenance, County Galway, Ireland",-8.944250799999999,53.3770892,"Co. Galway, Ireland",,False
12,"Total Insulation, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
13,"JD Heating & Plumbing, County Dublin 16, Ireland",-6.294939599999999,53.2772055,"204 Moyville, Rathfarnham, Dublin, D16 A3F4, Ireland",D16 A3F4,True
14,"Home Master Munster, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
15,"Bracken Plumbing and Heating, County Wicklow, Ireland",-6.0846415,53.1478802,"Chapel Rd, Rathdown Lower, Greystones, Co. Wicklow, Ireland",,True
16,"James N.Earls+Sons+Daughter Ltd, County Dublin 16, Ireland",-6.2519182,53.284124,"18 Acorn Dr, Dundrum, Dublin 16, D16 VR60, Ireland",D16 VR60,True
17,"Hydroflow Plumbing And Heating, County Dublin 22, Ireland",-6.391093199999999,53.3447813,"33 Oatfield Ave, Coldcut, Dublin 22, D22 T6H2, Ireland",D22 T6H2,True
18,"John Gaffey Ltd, County Westmeath, Ireland",-7.4653217,53.5345308,"Westmeath, Co. Westmeath, Ireland",,False
19,"STS Building Services, County Co Dublin, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
20,"Mark Fitzpatrick & Son Ltd, County Co Dublin, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
21,"Mark Scanlon Heating & Plumbing Ltd, County Cork, Ireland",-8.764363099999999,51.9884699,"Co. Cork, Ireland",,False
22,"Bernard Kavanagh, County Co Dublin, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
23,"Daly Gas And Plumbing, County Dublin 24, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
24,"Donncha Lambert Heating And Plumbing, County Laois, Ireland",-7.332300699999999,52.994295,"Laois, Co. Laois, Ireland",,False
25,"Derchil Limited t/a CosiHomes, County Meath, Ireland",-6.410971099999999,53.5244455,"Unit 1B, Ashbourne Business Park, Ashbourne, Co. Meath, A84 X978, Ireland",A84 X978,True
26,"Anthony Ryan, County Laois, Ireland",-7.332300699999999,52.994295,"Laois, Co. Laois, Ireland",,False
27,"Trevor Hill & Co Ltd, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
28,"Carroll Contractors, County Dublin 24, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
29,"Cairealacht Chill-Bhride Teo. / KSG Construction, County Galway, Ireland",-9.3657509,53.54228029999999,"Rusheen West, Co. Galway, F12 YA70, Ireland",F12 YA70,True
30,"Donal Broderick Plumbing & Heating Ltd, County Kerry, Ireland",-9.5668632,52.15446069999999,"Kerry, Co. Kerry, Ireland",,False
31,"PFN Plumbing & Heating Ltd, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
32,"Patrick O Brien Plumbing and Heating, County Galway, Ireland",-8.4081355,53.5231383,"Ballinacor, Newbridge, Co. Galway, H53 E7F9, Ireland",H53 E7F9,True
33,"Gorcon Ltd, County Armagh, Ireland",-6.710978,54.3668945,"11 Ballyscandal Rd, Armagh BT61 8BL, UK",BT61 8BL,True
